t_us,x_raw,y_raw,z_raw
1300677702,264,29,-33
1300678952,264,30,-31
1300680202,264,27,-35
1300681452,265,26,-34
1300682702,266,26,-34
1300683952,265,30,-35
1300685202,268,22,-36
1300686452,263,25,-34
1300687702,265,28,-33
1300688952,263,26,-31
1300691370,269,24,-35
1300692620,265,31,-32
1300693870,266,28,-34
1300695120,267,32,-32
1300696370,268,32,-33
1300697620,268,32,-39
1300698870,265,30,-35
1300700120,265,29,-34
1300701370,266,29,-30
1300702620,267,27,-34
1300703870,267,26,-33
1300705120,264,29,-34
1300706370,267,26,-32
1300707620,267,28,-40
1300708870,265,28,-35
1300710120,269,29,-35
1300711370,264,32,-33
1300712620,266,28,-35
1300713870,263,29,-34
1300715120,266,29,-28
1300716370,268,29,-35
1300717620,266,26,-36
1300718870,266,26,-32
1300720120,265,29,-34
1300721370,270,25,-37
1300723922,265,30,-36
1300725172,268,29,-32
1300726422,265,25,-29
1300727672,266,30,-33
1300728922,263,30,-29
1300730172,268,35,-35
1300731422,268,30,-35
1300732672,267,28,-34
1300733922,266,25,-35
1300735172,264,26,-34
1300736422,268,29,-35
1300737672,266,29,-33
1300738922,266,24,-33
1300740172,266,29,-36
1300741422,265,27,-31
1300742672,269,30,-34
1300743922,265,29,-33
1300745172,266,28,-28
1300746422,265,29,-37
1300747672,269,27,-33
1300748922,266,29,-33
1300750172,267,29,-33
1300751422,266,27,-31
1300752672,265,28,-33
1300753922,267,28,-33
1300756331,267,28,-33
1300757581,268,30,-30
1300758831,268,27,-33
1300760081,267,30,-35
1300761331,269,31,-36
1300762581,273,29,-34
1300763831,264,26,-38
1300765081,265,28,-35
1300766331,264,29,-33
1300767581,266,29,-31
1300768831,268,26,-29
1300770081,266,29,-31
1300771331,266,29,-32
1300772581,264,29,-35
1300773831,267,32,-37
1300775081,262,29,-32
1300776331,268,28,-37
1300777581,262,25,-31
1300778831,267,24,-34
1300780081,267,29,-34
1300781331,265,27,-36
1300782581,263,26,-35
1300783831,266,28,-36
1300785081,266,26,-30
1300786331,267,27,-34
1300788952,269,29,-35
1300790202,272,25,-31
1300791452,265,32,-31
1300792702,265,32,-31
1300793952,267,25,-36
1300795202,268,26,-35
1300796452,264,28,-35
1300797702,266,24,-32
1300798952,267,26,-31
1300800202,266,27,-30
1300801452,270,27,-29
1300802702,267,26,-37
1300803952,264,27,-35
1300805202,264,27,-37
1300806452,267,28,-32
1300807702,267,30,-34
1300808952,266,27,-32
1300810202,265,26,-30
1300811452,268,25,-35
1300812702,269,32,-34
1300813952,268,27,-36
1300815202,263,28,-36
1300816452,271,28,-37
1300817702,264,30,-29
1300818952,268,29,-35
1300821370,267,31,-32
1300822620,264,28,-31
1300823870,267,26,-34
1300825120,269,29,-36
1300826370,268,32,-34
1300827620,270,31,-40
1300828870,265,29,-34
1300830120,265,25,-35
1300831370,265,28,-31
1300832620,269,28,-33
1300833870,264,29,-31
1300835120,267,27,-30
1300836370,267,23,-34
1300837620,264,30,-34
1300838870,267,26,-39
1300840120,268,29,-34
1300841370,263,26,-36
1300842620,264,31,-32
1300843870,266,30,-33
1300845120,265,28,-35
1300846370,266,28,-34
1300847620,268,30,-30
1300848870,265,29,-30
1300850120,265,29,-35
1300851370,268,25,-35
1300853923,269,27,-35
1300855173,269,31,-35
1300856423,267,25,-31
1300857673,265,35,-36
1300858923,271,30,-33
1300860173,269,34,-35
1300861423,267,27,-36
1300862673,266,25,-36
1300863923,264,27,-36
1300865173,266,24,-32
1300866423,264,28,-38
1300867673,268,23,-33
1300868923,266,28,-33
1300870173,267,29,-35
1300871423,266,28,-29
1300872673,265,27,-36
1300873923,269,28,-36
1300875173,265,29,-33
1300876423,267,27,-35
1300877673,268,27,-33
1300878923,264,30,-32
1300880173,266,27,-39
1300881423,266,29,-37
1300882673,268,25,-35
1300883923,267,30,-34
1300886395,264,31,-31
1300887645,267,32,-32
1300888895,264,35,-26
1300890145,267,30,-33
1300891395,265,34,-34
1300892645,266,36,-32
1300893895,268,27,-34
1300895145,266,27,-33
1300896395,264,26,-35
1300897645,267,28,-32
1300898895,266,30,-36
1300900145,267,26,-29
1300901395,264,30,-36
1300902645,266,28,-35
1300903895,265,28,-37
1300905145,262,29,-31
1300906395,266,28,-33
1300907645,265,35,-34
1300908895,267,25,-36
1300910145,266,28,-37
1300911395,264,28,-37
1300912645,265,31,-36
1300913895,264,29,-35
1300915145,267,28,-33
1300916395,268,28,-38
1300918865,269,27,-32
1300920115,268,31,-28
1300921365,270,37,-36
1300922615,268,23,-34
1300923865,269,29,-31
1300925115,270,31,-31
1300926365,267,29,-34
1300927615,266,27,-33
1300928865,264,28,-33
1300930115,268,26,-31
1300931365,265,28,-31
1300932615,267,24,-35
1300933865,266,28,-36
1300935115,269,25,-34
1300936365,265,28,-35
1300937615,264,31,-34
1300938865,264,27,-34
1300940115,265,29,-35
1300941365,265,28,-33
1300942615,265,28,-34
1300943865,266,30,-32
1300945115,266,27,-34
1300946365,267,24,-35
1300947615,265,26,-37
1300948865,267,28,-36
1300951455,264,27,-34
1300952705,270,31,-37
1300953955,270,30,-34
1300955205,264,30,-29
1300956455,267,30,-31
1300957705,268,33,-35
1300958955,264,28,-33
1300960205,266,27,-33
1300961455,267,23,-32
1300962705,267,27,-35
1300963955,266,29,-32
1300965205,265,26,-39
1300966455,263,34,-35
1300967705,263,30,-36
1300968955,264,28,-31
1300970205,265,29,-38
1300971455,267,25,-33
1300972705,266,29,-33
1300973955,268,29,-33
1300975205,269,24,-34
1300976455,267,26,-35
1300977705,262,30,-33
1300978955,263,26,-35
1300980205,266,27,-32
1300981455,265,30,-35
1300983952,267,24,-34
1300985202,268,31,-36
1300986452,268,30,-33
1300987702,268,34,-35
1300988952,268,26,-31
1300990202,270,29,-27
1300991452,267,29,-35
1300992702,265,28,-34
1300993952,267,24,-34
1300995202,264,30,-29
1300996452,266,29,-37
1300997702,267,29,-34
1300998952,265,29,-36
1301000202,263,30,-33
1301001452,265,31,-36
1301002702,266,28,-33
1301003952,266,32,-33
1301005202,267,30,-27
1301006452,267,27,-32
1301007702,266,27,-32
1301008952,267,27,-37
1301010202,267,25,-36
1301011452,271,28,-34
1301012702,270,27,-33
1301013952,268,26,-36
1301016370,266,29,-33
1301017620,264,31,-32
1301018870,265,24,-30
1301020120,267,30,-34
1301021370,269,29,-37
1301022620,269,30,-34
1301023870,268,28,-34
1301025120,264,28,-36
1301026370,264,28,-30
1301027620,267,29,-35
1301028870,265,30,-35
1301030120,264,28,-31
1301031370,266,28,-34
1301032620,267,26,-34
1301033870,270,28,-39
1301035120,268,28,-35
1301036370,265,29,-35
1301037620,268,32,-36
1301038870,264,27,-34
1301040120,266,29,-32
1301041370,266,29,-34
1301042620,266,28,-38
1301043870,262,27,-38
1301045120,264,31,-32
1301046370,267,29,-33
1301048922,266,28,-31
1301050172,268,29,-29
1301051422,270,25,-33
1301052672,269,30,-38
1301053922,269,28,-34
1301055172,272,29,-32
1301056422,266,26,-37
1301057672,267,27,-33
1301058922,264,28,-34
1301060172,267,26,-32
1301061422,267,31,-33
1301062672,269,27,-36
1301063922,265,30,-37
1301065172,266,28,-33
1301066422,266,26,-35
1301067672,267,27,-38
1301068922,265,30,-36
1301070172,264,27,-37
1301071422,267,24,-36
1301072672,267,30,-37
1301073922,264,29,-34
1301075172,268,30,-37
1301076422,267,21,-38
1301077672,264,27,-32
1301078922,267,27,-33
1301081331,267,24,-35
1301082581,268,35,-35
1301083831,264,27,-32
1301085081,268,29,-29
1301086331,266,29,-29
1301087581,261,35,-32
1301088831,266,25,-34
1301090081,265,26,-34
1301091331,266,29,-33
1301092581,266,30,-33
1301093831,265,29,-38
1301095081,265,26,-39
1301096331,266,27,-35
1301097581,266,29,-34
1301098831,266,27,-33
1301100081,264,27,-31
1301101331,267,27,-31
1301102581,266,34,-34
1301103831,265,31,-32
1301105081,266,29,-35
1301106331,266,27,-33
1301107581,268,26,-38
1301108831,267,31,-35
1301110081,262,30,-31
1301111331,265,25,-35
1301113952,264,28,-35
1301115202,268,27,-35
1301116452,271,30,-34
1301117702,265,35,-35
1301118952,267,31,-37
1301120202,271,31,-30
1301121452,268,28,-35
1301122702,264,27,-33
1301123952,264,28,-34
1301125202,263,28,-38
1301126452,267,31,-33
1301127702,265,28,-29
1301128952,264,26,-33
1301130202,269,29,-32
1301131452,263,28,-38
1301132702,264,27,-36
1301133952,267,29,-34
1301135202,263,26,-35
1301136452,267,29,-33
1301137702,267,25,-37
1301138952,263,31,-34
1301140202,264,28,-37
1301141452,266,28,-31
1301142702,264,32,-38
1301143952,267,29,-33
1301146370,266,29,-36
1301147620,268,30,-34
1301148870,268,29,-35
1301150120,268,28,-36
1301151370,267,26,-32
1301152620,268,31,-37
1301153870,267,28,-36
1301155120,265,31,-35
1301156370,268,24,-33
1301157620,263,28,-32
1301158870,264,30,-41
1301160120,267,30,-29
1301161370,269,27,-36
1301162620,263,30,-34
1301163870,266,23,-35
